Epoch: [0][1020/3706], lr: 0.00100	Time 0.648 (0.676)	Data 0.000 (0.010)	Loss 1.4548 (2.3728)	Prec@1 53.125 (31.596)	Prec@5 93.750 (63.666)
Epoch: [0][1040/3706], lr: 0.00100	Time 0.655 (0.676)	Data 0.001 (0.010)	Loss 2.0214 (2.3604)	Prec@1 43.750 (31.931)	Prec@5 75.000 (63.977)
Epoch: [0][1060/3706], lr: 0.00100	Time 0.700 (0.675)	Data 0.000 (0.009)	Loss 1.8417 (2.3503)	Prec@1 40.625 (32.219)	Prec@5 78.125 (64.223)
Epoch: [0][1080/3706], lr: 0.00100	Time 0.704 (0.675)	Data 0.000 (0.009)	Loss 2.2858 (2.3400)	Prec@1 37.500 (32.481)	Prec@5 75.000 (64.544)
Epoch: [0][1100/3706], lr: 0.00100	Time 0.711 (0.675)	Data 0.000 (0.009)	Loss 1.7430 (2.3306)	Prec@1 34.375 (32.732)	Prec@5 84.375 (64.819)
Epoch: [0][1120/3706], lr: 0.00100	Time 0.609 (0.675)	Data 0.000 (0.009)	Loss 1.4489 (2.3221)	Prec@1 62.500 (32.978)	Prec@5 87.500 (65.059)
Epoch: [0][1140/3706], lr: 0.00100	Time 0.609 (0.674)	Data 0.000 (0.009)	Loss 1.8959 (2.3131)	Prec@1 40.625 (33.219)	Prec@5 81.250 (65.296)
Epoch: [0][1160/3706], lr: 0.00100	Time 0.646 (0.674)	Data 0.000 (0.009)	Loss 1.6586 (2.3029)	Prec@1 50.000 (33.476)	Prec@5 87.500 (65.550)
Epoch: [0][1180/3706], lr: 0.00100	Time 0.637 (0.674)	Data 0.000 (0.008)	Loss 1.7155 (2.2933)	Prec@1 43.750 (33.724)	Prec@5 81.250 (65.784)
Epoch: [0][1200/3706], lr: 0.00100	Time 0.621 (0.674)	Data 0.000 (0.008)	Loss 1.6255 (2.2835)	Prec@1 50.000 (34.008)	Prec@5 75.000 (66.060)
Epoch: [0][1220/3706], lr: 0.00100	Time 0.637 (0.673)	Data 0.000 (0.008)	Loss 1.5861 (2.2737)	Prec@1 53.125 (34.285)	Prec@5 78.125 (66.329)
Epoch: [0][1240/3706], lr: 0.00100	Time 0.649 (0.673)	Data 0.000 (0.008)	Loss 2.0423 (2.2655)	Prec@1 46.875 (34.519)	Prec@5 65.625 (66.539)
Epoch: [0][1260/3706], lr: 0.00100	Time 0.651 (0.673)	Data 0.000 (0.008)	Loss 1.7453 (2.2570)	Prec@1 46.875 (34.737)	Prec@5 87.500 (66.772)
Epoch: [0][1280/3706], lr: 0.00100	Time 0.696 (0.673)	Data 0.000 (0.008)	Loss 1.7103 (2.2492)	Prec@1 53.125 (35.000)	Prec@5 84.375 (66.979)
Epoch: [0][1300/3706], lr: 0.00100	Time 0.706 (0.672)	Data 0.000 (0.008)	Loss 2.0209 (2.2411)	Prec@1 40.625 (35.242)	Prec@5 75.000 (67.201)
Epoch: [0][1320/3706], lr: 0.00100	Time 0.674 (0.672)	Data 0.000 (0.008)	Loss 1.7108 (2.2327)	Prec@1 53.125 (35.463)	Prec@5 78.125 (67.432)
